sentence	label
a meatier deeper beginning and/or ending would have easily tipped this film into the `` a '' range , as is , it 's a very very strong `` b + . '' 	1
inconsistent 	0
enormously entertaining movie 	1
this 90-minute postmodern voyage was more diverting and thought-provoking than i 'd expected it to be . 	1
gives devastating testimony to both people 's capacity for evil and their heroic capacity for good . 	0
( and beautifully edited ) 	1
are undeniably touched . 	1
, the sum of all fears generates little narrative momentum , and invites unflattering comparisons to other installments in the ryan series . 	0
the sometimes murky , always brooding look of i 	0
is unashamedly pro-serbian 	0
to get to the closing bout ... by which time it 's impossible to care who wins 	1
spinoff of last summer 's bloated effects fest the mummy returns 	0
two-way 	1
could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking . 	1
gives us mostly fool 's gold 	0
still could have been room for the war scenes 	0
successfully maintains suspense on different levels throughout a film that is both gripping and compelling . 	0
marks to take on any life of its own 	0
shoddy product 	0
too little 	0
most good-hearted yet sensual 	1
of thoughtful , subjective filmmaking 	1
cohesive 	1
as a story of dramatic enlightenment 	1
entertaining film 	1
rooted in a sincere performance by the title character undergoing midlife crisis . 	1
informative , 	1
snide 	0
problematic 	0
poignant and delicately 	1
undeniable energy 	1
, you still have to see this ! 	1
shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls 	0
tough enough to fit in any modern action movie 	1
what makes the film special 	1
kouyate elicits strong performances from his cast , and 	0
said to squander jennifer love hewitt 	0
arduous 	0
its courageousness , and 	1
the women look more like stereotypical caretakers and moral teachers , instead of serious athletes 	0
absurd plot twists , idiotic court maneuvers and 	0
a lot smarter than your average bond . 	1
will probably find it familiar and insufficiently cathartic 	0
overall it 's an entertaining and informative documentary . 	1
the film never feels draggy 	0
for its elegantly colorful look and sound 	1
remembering this refreshing visit 	1
it does elect to head off in its own direction 	1
like a cheap lawn chair 	0
will leave you wanting to abandon the theater 	1
an unflinching , complex portrait of a modern israel that is rarely seen on-screen 	1
deliver a riveting and surprisingly romantic ride 	1
i skipped country bears 	0
ultimate 	1
no wit , only labored gags 	0
baaaaaaaaad 	0
that underscore the importance of family tradition and familial community 	1
in a random series of collected gags , pranks , pratfalls , dares , injuries , etc . 	0
radiates star-power potential in this remarkable and memorable film 	0
sneaks up on the viewer 	1
recognize it 	1
is without intent . 	0
's invigorating about 	1
out-to-change-the-world 	1
left me behind at the station looking for a return ticket to realism 	0
could so easily have been fumbled by a lesser filmmaker 	1
theories 	1
on the young woman 's infirmity and her naive dreams 	1
is god 	0
love and familial 	1
is far funnier than it would seem to have any right to be . 	1
pointless meditation on losers in a gone-to-seed hotel . 	0
adventurous indian filmmakers toward a crossover 	1
fails on its own , but 	0
of carefully choreographed atrocities , which become strangely impersonal and abstract 	0
a rambling and incoherent manifesto about the vagueness of topical excess 	0
energetic , extreme-sports adventure 	1
uninspired scripts , acting and direction 	0
is a fascinating film because there is no clear-cut hero and no all-out villain . 	1
is raised a few notches above kiddie fantasy pablum by allen 's astringent wit 	1
there are flaws , but also stretches of impact and moments of awe ; we 're wrapped up in the characters , how they make their choices , and why . 	1
delivered in grand passion by the members of the various households 	1
an old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue . 	0
almost immediately that welcome to collinwood is n't going to jell 	0
's the sweet cinderella story that `` pretty woman '' wanted to be . 	1
presenting backstage bytes of information that never amount to a satisfying complete picture of this particular , anciently demanding métier 	1
has more in common with a fireworks display than a movie , which normally is expected to have characters and a storyline 	0
weaving a theme throughout this funny film 	1
let 's see , a haunted house , a haunted ship , what 's next 	0
smoothly sinister freddie 	1
feel my eyelids ... getting ... very ... heavy 	0
a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame 	1
pushed into the margins 	0
exhausted by documentarians 	0
give shapiro , goldman , and bolado credit for good intentions , but there 's nothing here that they could n't have done in half an hour . 	0
understand everyone 's point of view 	1
but one relentlessly depressing situation after another for its entire running time 	0
any movie with a life-affirming message 	1
is repulsive and depressing 	0
is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie 	0
upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming 	0
humanistic 	1
while remaining one of the most savagely hilarious social critics this side of jonathan swift 	1
see this , the final part of the ` qatsi ' trilogy , directed by godfrey reggio , with music 	1
maintains an appealing veneer without becoming too cute about it 	0
potential success 	1
hilarious ode 	1
a fast , frenetic , funny , even punny 6 -- 	1
still has enough moments to keep it entertaining . 	1
that peter o'fallon did n't have an original bone in his body 	0
real star 	1
the best thing 	1
slides downhill as soon as macho action conventions assert themselves . 	0
rhetoric and cliché 	0
practically assures that the pocket monster movie franchise is nearly ready to keel over 	1
one of those so-so films that could have been much better . 	1
to figure the depth of these two literary figures , and even the times in which they lived 	1
the richness of characterization that makes his films so memorable 	1
the energy humming 	1
beautifully shot , delicately scored and powered by a set of heartfelt performances 	1
it 's soulful and unslick , and that 's apparently just what ( aniston ) has always needed to grow into a movie career . 	1
the right place 	1
of nijinsky 	1
peaked 	1
might just be the movie you 're looking for 	1
forceful drama 	1
illustrated by a winning family story . 	1
be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows 	0
distracting special effects and visual party tricks 	0
a way that few movies have ever approached 	0
, howard 's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another . 	0
that 's alternately melancholic , hopeful and strangely funny 	1
despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . 	0
takes a hat-in-hand approach 	1
's an ambitious film 	1
other than money why this distinguished actor would stoop so low 	0
any sexual relationship that does n't hurt anyone and works for its participants 	0
holofcener rejects patent solutions to dramatize life 's messiness from inside out , in all its strange quirks . 	1
preliminary notes for a science-fiction horror film 	1
, mr. nelson has made a film that is an undeniably worthy and devastating experience . 	0
from lynch , jeunet , and von trier while failing to find a spark of its own 	0
engrossing melodrama 	1
have otherwise been bland and 	0
much to do , too little time to do it in 	0
a florid turn 	0
'' it 's equally distasteful to watch him sing the lyrics to `` tonight . '' 	0
a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship . 	0
untalented artistes who enjoy moaning about their cruel fate 	0
a whip-smart sense of narrative bluffs 	1
as with most late-night bull sessions , eventually the content is n't nearly as captivating as the rowdy participants think it is . 	0
a boring man , 	1
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood 	1
still comes off as a touching , transcendent love story . 	1
successful on other levels 	1
cinematic poetry 	1
romp of a film 	1
overripe episode 	0
an interesting and at times captivating take on loss and loneliness . 	1
a solid cast 	1
odd , rapt spell 	0
exploitative for the art houses and too cynical 	0
to provoke them 	1
it is clearly a good thing . 	1
be complaining when a film clocks in around 90 minutes these days 	0
cultural identity 	1
is long on narrative and ( too ) short on action 	0
, all credibility flies out the window . 	0
a hallmark film in an increasingly important film industry and worth the look . 	1
without having much dramatic impact 	0
piercingly affecting ... while clearly a manipulative film , emerges as powerful rather than cloying 	1
's also one of the smartest 	1
reminds you how pertinent its dynamics remain 	1
an unholy mess , 	0
affair 	0
further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap . 	0
be pleasant in spite of its predictability 	0
cagney 's ` top of the world ' 	1
what a stiflingly unfunny and unoriginal mess this 	0
a convincing impersonation here of a director enjoying himself immensely 	1
lagging near the finish line 	0
will laugh their *** off for an hour-and-a-half 	1
stylized humor throughout 	0
add up to more than body count 	0
really get weird , though not particularly scary 	0
incredibly captivating and insanely funny 	1
a stunning new young talent in one of chabrol 's most intense psychological mysteries 	1
eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider . 	0
efficiently minimalist style 	1
efficient , 	1
the film 's reach exceeds its grasp 	1
merely offensive 	0
the charismatic jackie chan to 	0
overly-familiar 	0
as inept as big-screen remakes of the avengers and the wild wild west . 	0
appealing enough 	0
a good guy 	1
at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- 	0
... hits every cliche we 've come to expect , including the assumption that `` crazy '' people are innocent , childlike and inherently funny . 	0
4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly . 	1
is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work . 	1
they shovel into their mental gullets to simulate sustenance 	0
, pointless , stupid 	0
be the performances of their careers 	1
armed with a game supporting cast 	1
is just as ill-fitting as shadyac 's perfunctory directing chops 	0
holds interest in the midst of a mushy , existential exploration of why men leave their families 	1
in a plot as musty as one of the golden eagle 's carpets 	0
a beautiful paean to a time long past . 	1
left off the film 's predictable denouement 	0
clear and reliable an authority 	1
the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough 	1
works spectacularly well ... 	1
make green dragon seem more like medicine than entertainment 	0
heedless 	0
is less about a superficial midlife crisis 	0
gangster no. 1 a worthwhile moviegoing experience 	1
elegant and 	1
soap-opera emotion 	0
reminds at every turn of elizabeth berkley 's flopping dolphin-gasm 	0
packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film 	0
a naturally funny film 	1
great fun , full of the kind of energy it 's documenting 	0
that delivers on the promise of excitement 	1
its metaphors are opaque enough to avoid didacticism , and 	1
kind of special 	1
a fair amount of b-movie excitement 	1
notwithstanding my problem with the movie 's final half hour 	1
this is beautiful filmmaking from one of french cinema 's master craftsmen . 	1
homogenized and a bit contrived 	0
to the growing , moldering pile of , well , extreme stunt 	0
offers nothing more than a bait-and-switch that is beyond playing fair with the audience . 	0
create 	1
a smart , compelling drama . 	1
it 's probably worth catching solely on its visual merits . 	1
but it does have one saving grace . 	1
, but director carl franklin adds enough flourishes and freak-outs to make it entertaining 	1
, dumb and derivative horror 	0
the level of intelligence and visual splendor that can be seen in other films 	1
and more than that , it 's an observant , unfussily poetic meditation about identity and alienation . 	1
has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made . 	1
are jarring and deeply out of place in what could have ( and probably should have ) 	0
will love its fantasy and adventure 	1
wildly careening tone 	0
hard to resist his enthusiasm 	0
familiar and tired 	0
too many prefabricated story elements 	0
a stylish cast and some clever scripting solutions help chicago make the transition from stage to screen with considerable appeal intact . 	0
was n't all that great to begin with 	0
throw each other out windows 	0
frustrating ` tweener ' 	0
of death in this bitter italian comedy 	0
unabashedly romantic 	1
insultingly unbelievable 	0
impossible to indulge the fanciful daydreams of janice beard ( eileen walsh ) when her real-life persona is so charmless and vacant 	0
is that it 's actually watchable 	1
aggressively anti-erotic 	0
just does n't cut it 	1
while the transgressive trappings ( especially the frank sex scenes ) ensure that the film is never dull , rodrigues 's beast-within metaphor is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative . 	0
is that hollywood expects people to pay to see it . 	1
the plot ( other than its one good idea ) and the movie 's inescapable air of sleaziness 	0
a classy , sprightly spin on film . 	1
a powerful 1957 drama we 've somehow never seen before 	1
going to make box office money that makes michael jordan jealous 	1
the usual movie rah-rah , pleasantly and predictably 	1
its audience giddy with the delight of discovery 	1
a rehash 	0
works because of the universal themes , earnest performances ... and excellent use of music by india 's popular gulzar and jagjit singh 	1
the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon/bourne or his predicament 	0
, you 've got to admire ... the intensity with which he 's willing to express his convictions 	1
a tearjerker 	1
is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables 	0
is best when illustrating the demons bedevilling the modern masculine journey . 	1
the better film 's 	1
, the film does pack some serious suspense . 	1
a half dozen other trouble-in-the-ghetto flicks 	0
alone will keep you watching , as will the fight scenes . 	1
is that van wilder does little that is actually funny with the material 	0
from the brave , uninhibited performances 	1
brand name 	0
funny stuff in this movie 	1
as an old pickup skidding completely out of control on a long patch of black ice 	0
, life-affirming moments 	1
uplifting 	1
many of these guys are less than adorable 	0
insanely hilarious ! 	1
makes for a touching love story 	1
soderbergh 's best films , `` 	1
it leaves a bad taste in your mouth and questions on your mind 	0
benefit enormously from the cockettes ' camera craziness -- 	1
offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar . 	0
keep pushing the jokes at the expense of character until things fall apart . 	0
seriously bad film 	0
irredeemably awful 	0
it 's kinda dumb . 	0
that the material is so second-rate . 	0
genuinely moving and wisely unsentimental drama 	1
trademark misogyny 	0
loses sight of its own story 	0
uniquely sensual metaphorical dramatization 	0
the power of poetry and passion 	1
quietly moving moments and an intelligent subtlety 	1
the hot chick is pretty damned funny . 	1
as the long-faced sad sack 	0
a sad , sordid universe 	0
's still entertaining to watch the target practice 	1
as beautiful , 	1
is that we did n't get more re-creations of all those famous moments from the show 	0
is genial and decent 	1
shakespearean -- both in depth and breadth -- 	1
a picture that was n't all that great to begin with 	1
a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers 	0
flash but little emotional resonance 	0
that lacks juice and delight 	1
offers no easy , comfortable resolution 	0
, barbershop is tuned in to its community . 	1
bitten off more than he or anyone else could chew 	0
is so deadly dull 	0
that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 	0
could restage the whole thing in your bathtub . 	0
trapped wo n't score points for political correctness , but it may cause parents a few sleepless hours -- a sign of its effectiveness . 	0
, the satire is weak . 	0
the compassion , good-natured humor and 	1
be liberating 	1
will create enough interest to make up for an unfocused screenplay 	1
a fascinating , unnerving examination of the delusions of one unstable man 	1
to keel over 	1
never inspired 	0
you 'd have a hard time believing it was just coincidence . 	0
be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly 	0
best date movie 	1
drags out 	0
of love , longing , and voting 	1
boring talking heads 	0
virtue 	1
also looking cheap 	0
... feels as if ( there 's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something . 	0
purports 	1
filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders 	1
tartakovsky 's team has some freakish powers of visual charm , but 	1
value and respect 	1
's a film with an idea buried somewhere inside its fabric , but never clearly seen or felt 	0
as ledger attempts , in vain , to prove that movie-star intensity can overcome bad hair design 	1
such a dependable concept was botched in execution 	0
a choke leash 	0
more measured or polished production 	1
a homage 	1
nothing else happening 	0
's not an original character , siuation or joke in the entire movie 	0
that is so meditative and lyrical about babak payami 's boldly quirky iranian drama secret ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of middle eastern world politics 	0
a good job 	1
unbridled delight 	1
's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex 	0
calm and thoughtful 	1
meditative and lyrical 	1
is as thought-provoking 	0
's not trying to laugh at how bad 	0
with it 	1
voice is rather unexceptional 	0
lot funnier 	1
damned compelling 	1
greatest films 	1
succumbs to sensationalism 	0
ice age wo n't drop your jaw , but it will warm your heart , and i 'm giving it a strong thumbs up . 	1
all this exoticism might sound to the typical pax 	0
nothing more than warmed-over cold war paranoia 	0
the truth about charlie is that it 's a brazenly misguided project . 	0
kiddie entertainment , 	1
cheapening 	0
a trend long overdue 	1
bore most audiences into their own brightly colored dreams 	0
admire the film 's stately nature and call it classicism or be exasperated by a noticeable lack of pace 	0
with humor 	1
its first-time feature director 	1
big bloody stew 	0
like ravel 's bolero 	1
mired in stasis 	0
in the breathtakingly beautiful outer-space documentary space station 3d 	1
as enlightening , insightful and entertaining as grant 's two best films 	1
( macdowell ) ventures beyond her abilities several times here and reveals how bad an actress she is . 	0
to build a feel-good fantasy around a vain dictator-madman is off-putting , to say the least , not to mention inappropriate and wildly undeserved . 	0
sleep-inducingly slow-paced crime drama 	0
not engaging 	0
combines the enigmatic features of ` memento ' with the hallucinatory drug culture of ` requiem for a dream . 	1
stylish exercise 	0
you might be wishing for a watch that makes time go faster rather than the other way around . 	0
with such sensitivity 	1
sell us on this twisted love story 	1
delightfully dour 	0
fall to pieces 	1
somehow makes it all the more compelling . 	1
happily 	1
hardly an objective documentary , but it 's great cinematic polemic ... 	1
good vampire tale 	1
his fake backdrops and stately pacing 	0
a pleasure to have a film like the hours as an alternative 	1
we 're wrapped up in the characters , how they make their choices , and why 	1
vile , incoherent 	0
be considered a funny little film 	1
with spirit , purpose and emotionally bruised characters who add up to more than body count 	1
motivate 	1
beauty reeks 	1
clichéd and shallow cautionary tale 	0
desolate 	0
an exhausted , desiccated talent who ca n't get out of his own way 	0
those decades-spanning historical epics that strives to be intimate and socially encompassing but fails to do justice to either effort in three hours of screen time 	0
aimed at mom and dad 's wallet 	0
the reginald hudlin comedy relies on toilet humor , ethnic slurs . 	0
tremendous , offbeat sense 	1
it 's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied . 	0
haranguing the wife in bad stage dialogue 	0
makes it interesting as a character study is the fact that the story is told from paul 's perspective 	1
most watchable film 	1
of every bad action-movie line in history 	0
auto-critique 	0
mean it 's good enough for our girls 	1
taste for `` shock humor '' will wear thin on all 	0
the rut dug by the last one 	0
about a couple of saps stuck in an inarticulate screenplay 	0
( the film 's ) taste for `` shock humor '' will wear thin on all but 	0
broomfield reminds us that beneath the hype , the celebrity , the high life , the conspiracies and the mystery there were once a couple of bright young men -- promising , talented , charismatic and tragically doomed . 	1
, davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air 	1
do well to cram earplugs in their ears 	0
most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars 	1
life-affirming moments 	0
superb 	1
delivered dialogue and a heroine who comes across as both shallow and dim-witted 	0
this movie is hopeless 	0
too literally 	0
hitchcockian suspense 	1
the subject matter that ultimately defeated the film ... it was the unfulfilling , incongruous , `` wait a second 	0
undercut by its awkward structure and a final veering toward melodrama 	0
's an interesting effort ( particularly for jfk conspiracy nuts ) 	1
hawke 's film , a boring , pretentious waste of nearly two hours , does n't tell you anything except that the chelsea hotel today is populated by whiny , pathetic , starving and untalented artistes . 	0
swirling 	0
like it was worth your seven bucks 	1
screeching-metal 	0
the script 's endless assault 	0
an equally assured narrative coinage 	1
eyre is on his way to becoming the american indian spike lee . 	1
is no denying the power of polanski 's film 	1
generate a lot of energy 	0
a witty , whimsical feature 	1
fascinating psychological fare 	1
while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself 	1
go at all the wrong moments 	0
, stealing harvard is a smorgasbord of soliloquies about nothing delivered by the former mr. drew barrymore . 	0
shines in her quiet blue eyes 	1
be an enjoyable choice for younger kids 	1
as clear and reliable an authority on that 	1
none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , or 	0
its inescapable absurdities 	1
, then by all means check it out . 	1
mel 	0
our reality tv obsession , and even 	0
amusing 	1
engaging charisma 	1
mourns her tragedies in private 	0
at its best , this is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture . 	1
should not 	0
capturing the innocence and idealism of that first encounter 	1
while it is interesting to witness the conflict from the palestinian side , longley 's film lacks balance ... and fails to put the struggle into meaningful historical context . 	0
all the characters are clinically depressed and have abandoned their slim hopes and dreams . 	0
, inflammatory film 	0
clever , offbeat 	1
will talk about for hours 	1
' is banal in its message and the choice of material to convey it . 	0
comedy that is warm , inviting , and surprising . 	1
as a well-made evocation 	1
by movies ' end you 'll swear you are wet in some places and feel sand creeping in others 	1
exquisite acting 	1
is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold 	0
pretty damned wonderful 	1
, all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s . 	0
exercise in narcissism and self-congratulation disguised as a tribute . 	1
is n't worth telling 	0
` punch-drunk love is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in . ' 	0
is intelligently accomplished 	1
want to see over and over again 	1
the rat-a-tat energy 	1
does n't end up being very inspiring or insightful . 	0
a student film 	1
what madonna does here ca n't properly be called acting -- more accurately , it 's moving and it 's talking and it 's occasionally gesturing , sometimes all at once . 	0
real vitality 	1
i do n't think most of the people who loved the 1989 paradiso will prefer this new version . 	0
care for its decrepit freaks beyond the promise of a reprieve from their incessant whining 	0
every effort to disguise it as an unimaginative screenwriter 's invention 	0
usual whoopee-cushion effort 	0
odoriferous thing ... 	0
none of this sounds promising and 	0
much smarter and more attentive than it first sets out to be . 	1
of character-driven storytelling 	1
story which fails to rise above its disgusting source material 	0
to whet one 's appetite for the bollywood films 	0
strikingly devious 	1
i have returned from the beyond to warn you : this movie is 90 minutes long , and life is too short 	0
his audience an epiphany 	1
teenage sex comedy 	1
suffers from the awkwardness that results from adhering to the messiness of true stories 	0
queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle . 	0
been written so well , that even a simple `` goddammit 	1
of quiet , confident craftsmanship that tells a sweet , charming tale of intergalactic friendship 	1
raucously amusing 	1
is that there is nothing in it to engage children emotionally 	0
... again shows uncanny skill in getting under the skin of her characters 	1
the excruciating end 	0
is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films 	1
of hard-bitten , cynical journalists 	0
from its ripe recipe , inspiring ingredients , 	0
a good music documentary 	1
wonderfully speculative 	0
it 's hard to quibble with a flick boasting this many genuine cackles 	1
an empty , purposeless 	0
beautiful , angry and sad , 	1
effecting 	1
so insanely dysfunctional 	0
more adventurous 	1
, like mike shoots and scores , doing its namesake proud 	0
an astounding performance 	0
flounders under the weight of too many story lines 	0
cheapo 	0
norton is magnetic as graham . 	1
living far too much 	0
sillier , cuter , and 	1
it has no affect on the kurds , but it wore me down . 	0
in love with myth 	1
, cry and realize , 	0
valuable messages 	1
a little violence and lots of sex in a bid to hold our attention 	0
will object to the idea of a vietnam picture with such a rah-rah , patriotic tone 	0
insufferably tedious and turgid 	0
it is welcome to see a chinese film depict a homosexual relationship in a mature and frank fashion 	1
no business going 	1
got a house full of tots -- do n't worry 	1
strangely believable 	1
he does this so well 	1
is a surprisingly faithful remake of its chilly predecessor 	1
are repeatedly undercut by the brutality of the jokes , most at women 's expense 	0
none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , or even 	0
learning but inventing a remarkable new trick 	1
gorgeousness . 	1
will enjoy seeing how both evolve 	1
, you 're far better served by the source material . 	0
filmmaking without the balm of right-thinking ideology , either liberal or conservative 	1
the beautiful images and solemn words can not disguise the slack complacency of ( godard 's ) vision , any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice . 	0
seen it all before 	1
humanize its subject 	1
big-fisted 	1
you could fit all of pootie tang in between its punchlines 	0
that its own action is n't very effective 	0
fool 	0
'll find yourself remembering this refreshing visit to a sunshine state . 	1
worthy of the gong . 	0
falls flat as thinking man 	0
eccentrics 	0
embellishment 	1
even when it drags , we are forced to reflect that its visual imagination is breathtaking 	1
does a fine job contrasting the sleekness of the film 's present with the playful paranoia of the film 's past . ' 	1
sleep 	0
you 've figured out late marriage 	1
the pacing is deadly , the narration helps little and naipaul , a juicy writer , is negated . 	0
is genial but never inspired , and little about it will stay with you . 	0
are jarring and deeply out of place in what could have 	0
essentially awkward version 	0
though its rather routine script is loaded with familiar situations 	0
dry humor and jarring shocks 	1
your reward will be a thoughtful , emotional movie experience . 	1
its opening 	1
too amateurish 	0
that made the first film so special 	1
also one of the most curiously depressing 	0
watchable . 	1
is completely 	1
a bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation . 	1
's a frankenstein-monster of a film that does n't know what it wants to be 	0
and refined piece 	1
about memory and regret 	1
worthwhile environmental message 	1
many of these gross 	0
a moving and stark reminder that the casualties of war reach much further than we imagine . 	1
look ahead and resist living in a past 	1
a must-see for fans of thoughtful war films and those interested in the sights and sounds of battle . 	1
even more haunting than those in mr. spielberg 's 1993 classic 	1
would love this . 	1
ponderous , plodding soap opera disguised as a feature film . 	0
desert 	0
no. 1 	0
helpful 	1
makes his films so memorable 	1
the lines work 	1
